MalGEN_ID	External_ID	Date_of_Collection	Location	Country	Study	Sex_call
VBS55213	EA18-0359	2018-08-25T00:00:00Z	Moshi	Tanzania	1246:VO-TZ-KABULA-VMF00185	F
VBS55214	EA18-0361	2018-08-25T00:00:00Z	Moshi	Tanzania	1246:VO-TZ-KABULA-VMF00185	F
VBS55215	EA18-0362	2018-08-25T00:00:00Z	Moshi	Tanzania	1246:VO-TZ-KABULA-VMF00185	F
VBS55216	EA18-0363	2018-08-25T00:00:00Z	Moshi	Tanzania	1246:VO-TZ-KABULA-VMF00185	F
VBS55217	EA18-0364	2018-08-25T00:00:00Z	Moshi	Tanzania	1246:VO-TZ-KABULA-VMF00185	F
VBS55218	EA18-0365	2018-08-25T00:00:00Z	Moshi	Tanzania	1246:VO-TZ-KABULA-VMF00185	F
VBS55219	EA18-0366	2018-08-25T00:00:00Z	Moshi	Tanzania	1246:VO-TZ-KABULA-VMF00185	F
VBS55220	EA18-0367	2018-08-25T00:00:00Z	Moshi	Tanzania	1246:VO-TZ-KABULA-VMF00185	F
VBS55221	EA18-0368	2018-08-25T00:00:00Z	Moshi	Tanzania	1246:VO-TZ-KABULA-VMF00185	F
VBS55222	EA18-0369	2018-08-25T00:00:00Z	Moshi	Tanzania	1246:VO-TZ-KABULA-VMF00185	F
VBS55223	EA18-0370	2018-08-25T00:00:00Z	Moshi	Tanzania	1246:VO-TZ-KABULA-VMF00185	F
VBS55224	EA18-0371	2018-08-25T00:00:00Z	Moshi	Tanzania	1246:VO-TZ-KABULA-VMF00185	F
VBS55225	EA18-0372	2018-08-25T00:00:00Z	Moshi	Tanzania	1246:VO-TZ-KABULA-VMF00185	F
VBS55226	EA18-0373	2018-08-25T00:00:00Z	Moshi	Tanzania	1246:VO-TZ-KABULA-VMF00185	F
VBS55227	EA18-0374	2018-08-25T00:00:00Z	Moshi	Tanzania	1246:VO-TZ-KABULA-VMF00185	F
VBS55229	EA18-0376	2018-08-25T00:00:00Z	Moshi	Tanzania	1246:VO-TZ-KABULA-VMF00185	F
VBS55230	EA18-0378	2018-08-25T00:00:00Z	Moshi	Tanzania	1246:VO-TZ-KABULA-VMF00185	F
VBS55231	EA18-0379	2018-08-25T00:00:00Z	Moshi	Tanzania	1246:VO-TZ-KABULA-VMF00185	F
VBS55232	EA18-0380	2018-08-25T00:00:00Z	Moshi	Tanzania	1246:VO-TZ-KABULA-VMF00185	F
VBS55233	EA18-0381	2018-08-25T00:00:00Z	Moshi	Tanzania	1246:VO-TZ-KABULA-VMF00185	F
VBS55234	EA18-0382	2018-08-25T00:00:00Z	Moshi	Tanzania	1246:VO-TZ-KABULA-VMF00185	F
VBS55235	EA18-0383	2018-08-25T00:00:00Z	Moshi	Tanzania	1246:VO-TZ-KABULA-VMF00185	F
VBS55236	EA18-0384	2018-08-25T00:00:00Z	Moshi	Tanzania	1246:VO-TZ-KABULA-VMF00185	F
VBS55237	EA18-0385	2018-07-25T00:00:00Z	Muleba	Tanzania	1246:VO-TZ-KABULA-VMF00185	F
VBS55238	EA18-0386	2018-07-25T00:00:00Z	Muleba	Tanzania	1246:VO-TZ-KABULA-VMF00185	F
VBS55239	EA18-0387	2018-07-25T00:00:00Z	Muleba	Tanzania	1246:VO-TZ-KABULA-VMF00185	F
VBS55240	EA18-0388	2018-07-25T00:00:00Z	Muleba	Tanzania	1246:VO-TZ-KABULA-VMF00185	F
VBS55241	EA18-0389	2018-07-25T00:00:00Z	Muleba	Tanzania	1246:VO-TZ-KABULA-VMF00185	F
VBS55242	EA18-0390	2018-07-25T00:00:00Z	Muleba	Tanzania	1246:VO-TZ-KABULA-VMF00185	F
VBS55243	EA18-0392	2018-07-25T00:00:00Z	Muleba	Tanzania	1246:VO-TZ-KABULA-VMF00185	F
VBS55244	EA18-0393	2018-07-25T00:00:00Z	Muleba	Tanzania	1246:VO-TZ-KABULA-VMF00185	F
VBS55245	EA18-0394	2018-07-25T00:00:00Z	Muleba	Tanzania	1246:VO-TZ-KABULA-VMF00185	F
VBS55246	EA18-0395	2018-07-25T00:00:00Z	Muleba	Tanzania	1246:VO-TZ-KABULA-VMF00185	F
VBS55247	EA18-0396	2018-07-25T00:00:00Z	Muleba	Tanzania	1246:VO-TZ-KABULA-VMF00185	F
VBS55248	EA18-0397	2018-07-25T00:00:00Z	Muleba	Tanzania	1246:VO-TZ-KABULA-VMF00185	F
VBS55249	EA18-0398	2018-07-25T00:00:00Z	Muleba	Tanzania	1246:VO-TZ-KABULA-VMF00185	F
VBS55250	EA18-0399	2018-07-25T00:00:00Z	Muleba	Tanzania	1246:VO-TZ-KABULA-VMF00185	F
VBS55252	EA18-0401	2018-07-25T00:00:00Z	Muleba	Tanzania	1246:VO-TZ-KABULA-VMF00185	F
VBS55253	EA18-0402	2018-07-25T00:00:00Z	Muleba	Tanzania	1246:VO-TZ-KABULA-VMF00185	F
VBS55254	EA18-0403	2018-07-25T00:00:00Z	Muleba	Tanzania	1246:VO-TZ-KABULA-VMF00185	F
VBS55255	EA18-0404	2018-07-25T00:00:00Z	Muleba	Tanzania	1246:VO-TZ-KABULA-VMF00185	F
VBS55256	EA18-0405	2018-07-25T00:00:00Z	Muleba	Tanzania	1246:VO-TZ-KABULA-VMF00185	F
VBS55257	EA18-0406	2018-07-25T00:00:00Z	Muleba	Tanzania	1246:VO-TZ-KABULA-VMF00185	F
VBS55258	EA18-0407	2018-07-25T00:00:00Z	Muleba	Tanzania	1246:VO-TZ-KABULA-VMF00185	F
VBS55259	EA18-0408	2018-07-25T00:00:00Z	Muleba	Tanzania	1246:VO-TZ-KABULA-VMF00185	F
VBS55261	EA18-0410	2018-07-25T00:00:00Z	Muleba	Tanzania	1246:VO-TZ-KABULA-VMF00185	F
VBS55262	EA18-0411	2018-07-25T00:00:00Z	Muleba	Tanzania	1246:VO-TZ-KABULA-VMF00185	F
VBS55263	EA18-0412	2018-07-25T00:00:00Z	Muleba	Tanzania	1246:VO-TZ-KABULA-VMF00185	F
VBS55265	EA18-0414	2018-07-25T00:00:00Z	Muleba	Tanzania	1246:VO-TZ-KABULA-VMF00185	F
VBS55266	EA18-0415	2018-07-25T00:00:00Z	Muleba	Tanzania	1246:VO-TZ-KABULA-VMF00185	F
VBS55267	EA18-0416	2018-07-25T00:00:00Z	Muleba	Tanzania	1246:VO-TZ-KABULA-VMF00185	F
VBS55268	EA18-0417	2018-07-25T00:00:00Z	Muleba	Tanzania	1246:VO-TZ-KABULA-VMF00185	F
VBS55269	EA18-0418	2018-07-25T00:00:00Z	Muleba	Tanzania	1246:VO-TZ-KABULA-VMF00185	F
VBS55270	EA18-0420	2018-07-25T00:00:00Z	Muleba	Tanzania	1246:VO-TZ-KABULA-VMF00185	F
VBS55271	EA18-0421	2018-07-25T00:00:00Z	Muleba	Tanzania	1246:VO-TZ-KABULA-VMF00185	F
VBS55272	EA18-0422	2018-07-25T00:00:00Z	Muleba	Tanzania	1246:VO-TZ-KABULA-VMF00185	F
VBS55273	EA18-0423	2018-07-25T00:00:00Z	Muleba	Tanzania	1246:VO-TZ-KABULA-VMF00185	F
VBS55274	EA18-0424	2018-07-25T00:00:00Z	Muleba	Tanzania	1246:VO-TZ-KABULA-VMF00185	F
VBS55275	EA18-0425	2018-07-25T00:00:00Z	Muleba	Tanzania	1246:VO-TZ-KABULA-VMF00185	F
VBS55276	EA18-0426	2018-07-25T00:00:00Z	Muleba	Tanzania	1246:VO-TZ-KABULA-VMF00185	F
VBS55277	EA18-0427	2018-07-25T00:00:00Z	Muleba	Tanzania	1246:VO-TZ-KABULA-VMF00185	F
VBS55278	EA18-0428	2018-07-25T00:00:00Z	Muleba	Tanzania	1246:VO-TZ-KABULA-VMF00185	F
VBS55279	EA18-0429	2018-07-25T00:00:00Z	Muleba	Tanzania	1246:VO-TZ-KABULA-VMF00185	F
VBS55280	EA18-0430	2018-07-25T00:00:00Z	Muleba	Tanzania	1246:VO-TZ-KABULA-VMF00185	F
VBS55281	EA18-0431	2018-07-25T00:00:00Z	Muleba	Tanzania	1246:VO-TZ-KABULA-VMF00185	F
VBS55282	EA18-0432	2018-07-25T00:00:00Z	Muleba	Tanzania	1246:VO-TZ-KABULA-VMF00185	F
VBS55283	EA18-0433	2018-07-25T00:00:00Z	Muleba	Tanzania	1246:VO-TZ-KABULA-VMF00185	F
VBS55284	EA18-0434	2018-07-25T00:00:00Z	Muleba	Tanzania	1246:VO-TZ-KABULA-VMF00185	F
VBS55285	EA18-0435	2018-07-25T00:00:00Z	Muleba	Tanzania	1246:VO-TZ-KABULA-VMF00185	F
VBS55286	EA18-0436	2018-07-25T00:00:00Z	Muleba	Tanzania	1246:VO-TZ-KABULA-VMF00185	F
VBS55287	EA18-0437	2018-07-25T00:00:00Z	Muleba	Tanzania	1246:VO-TZ-KABULA-VMF00185	F
VBS55288	EA18-0438	2018-07-25T00:00:00Z	Muleba	Tanzania	1246:VO-TZ-KABULA-VMF00185	F
VBS55289	EA18-0440	2018-07-25T00:00:00Z	Muleba	Tanzania	1246:VO-TZ-KABULA-VMF00185	F
VBS55290	EA18-0441	2018-07-25T00:00:00Z	Muleba	Tanzania	1246:VO-TZ-KABULA-VMF00185	F
VBS55291	EA18-0442	2018-07-25T00:00:00Z	Muleba	Tanzania	1246:VO-TZ-KABULA-VMF00185	F
VBS55292	EA18-0443	2018-07-25T00:00:00Z	Muleba	Tanzania	1246:VO-TZ-KABULA-VMF00185	F
VBS55293	EA18-0444	2018-07-25T00:00:00Z	Muleba	Tanzania	1246:VO-TZ-KABULA-VMF00185	F
VBS55294	EA18-0445	2018-07-25T00:00:00Z	Muleba	Tanzania	1246:VO-TZ-KABULA-VMF00185	F
VBS55295	EA18-0446	2018-07-25T00:00:00Z	Muleba	Tanzania	1246:VO-TZ-KABULA-VMF00185	F
VBS55296	EA18-0447	2018-07-25T00:00:00Z	Muleba	Tanzania	1246:VO-TZ-KABULA-VMF00185	F
VBS55297	EA18-0449	2018-07-25T00:00:00Z	Muleba	Tanzania	1246:VO-TZ-KABULA-VMF00185	F
VBS55298	EA18-0450	2018-07-25T00:00:00Z	Muleba	Tanzania	1246:VO-TZ-KABULA-VMF00185	F
VBS55299	EA18-0451	2018-07-25T00:00:00Z	Muleba	Tanzania	1246:VO-TZ-KABULA-VMF00185	F
VBS55300	EA18-0452	2018-07-25T00:00:00Z	Muleba	Tanzania	1246:VO-TZ-KABULA-VMF00185	F
VBS55301	EA18-0453	2018-07-25T00:00:00Z	Muleba	Tanzania	1246:VO-TZ-KABULA-VMF00185	F
VBS55302	EA18-0454	2018-07-25T00:00:00Z	Muleba	Tanzania	1246:VO-TZ-KABULA-VMF00185	F
VBS55304	EA18-0456	2018-07-25T00:00:00Z	Muleba	Tanzania	1246:VO-TZ-KABULA-VMF00185	F
VBS55305	EA18-0457	2018-07-25T00:00:00Z	Muleba	Tanzania	1246:VO-TZ-KABULA-VMF00185	F
VBS55306	EA18-0458	2018-07-25T00:00:00Z	Muleba	Tanzania	1246:VO-TZ-KABULA-VMF00185	F
VBS55307	EA18-0459	2018-07-25T00:00:00Z	Muleba	Tanzania	1246:VO-TZ-KABULA-VMF00185	F
VBS55308	EA18-0460	2018-07-25T00:00:00Z	Muleba	Tanzania	1246:VO-TZ-KABULA-VMF00185	F
VBS55309	EA18-0461	2018-07-25T00:00:00Z	Muleba	Tanzania	1246:VO-TZ-KABULA-VMF00185	F
VBS55310	EA18-0462	2018-07-25T00:00:00Z	Muleba	Tanzania	1246:VO-TZ-KABULA-VMF00185	F
VBS55311	EA18-0463	2018-07-25T00:00:00Z	Muleba	Tanzania	1246:VO-TZ-KABULA-VMF00185	F
VBS55312	EA18-0464	2018-07-25T00:00:00Z	Muleba	Tanzania	1246:VO-TZ-KABULA-VMF00185	F
VBS55313	EA18-0465	2018-07-25T00:00:00Z	Muleba	Tanzania	1246:VO-TZ-KABULA-VMF00185	F
VBS55314	EA18-0466	2018-07-25T00:00:00Z	Muleba	Tanzania	1246:VO-TZ-KABULA-VMF00185	F
VBS55315	EA18-0467	2018-07-25T00:00:00Z	Muleba	Tanzania	1246:VO-TZ-KABULA-VMF00185	F
VBS55316	EA18-0468	2018-07-25T00:00:00Z	Muleba	Tanzania	1246:VO-TZ-KABULA-VMF00185	F
VBS55317	EA18-0469	2018-07-25T00:00:00Z	Muleba	Tanzania	1246:VO-TZ-KABULA-VMF00185	F
VBS55318	EA18-0470	2018-07-25T00:00:00Z	Muleba	Tanzania	1246:VO-TZ-KABULA-VMF00185	F
VBS55319	EA18-0471	2018-07-25T00:00:00Z	Muleba	Tanzania	1246:VO-TZ-KABULA-VMF00185	F
VBS55320	EA18-0472	2018-07-25T00:00:00Z	Muleba	Tanzania	1246:VO-TZ-KABULA-VMF00185	F
VBS55321	EA18-0473	2018-07-25T00:00:00Z	Muleba	Tanzania	1246:VO-TZ-KABULA-VMF00185	F
VBS55322	EA18-0474	2018-07-25T00:00:00Z	Muleba	Tanzania	1246:VO-TZ-KABULA-VMF00185	F
VBS55323	EA18-0475	2018-07-25T00:00:00Z	Muleba	Tanzania	1246:VO-TZ-KABULA-VMF00185	F
VBS55324	EA18-0476	2018-07-25T00:00:00Z	Muleba	Tanzania	1246:VO-TZ-KABULA-VMF00185	F
VBS55325	EA18-0477	2018-07-25T00:00:00Z	Muleba	Tanzania	1246:VO-TZ-KABULA-VMF00185	F
VBS55326	EA18-0478	2018-07-25T00:00:00Z	Muleba	Tanzania	1246:VO-TZ-KABULA-VMF00185	F
VBS55327	EA18-0479	2018-07-25T00:00:00Z	Muleba	Tanzania	1246:VO-TZ-KABULA-VMF00185	F
VBS55328	EA18-0480	2018-07-25T00:00:00Z	Muleba	Tanzania	1246:VO-TZ-KABULA-VMF00185	F
VBS55329	EA18-0481	2018-07-25T00:00:00Z	Muleba	Tanzania	1246:VO-TZ-KABULA-VMF00185	F
VBS55330	EA18-0482	2018-07-25T00:00:00Z	Muleba	Tanzania	1246:VO-TZ-KABULA-VMF00185	F
VBS55331	EA18-0483	2018-07-25T00:00:00Z	Muleba	Tanzania	1246:VO-TZ-KABULA-VMF00185	F
VBS55332	EA18-0484	2018-07-25T00:00:00Z	Muleba	Tanzania	1246:VO-TZ-KABULA-VMF00185	F
VBS55333	EA18-0485	2018-07-25T00:00:00Z	Muleba	Tanzania	1246:VO-TZ-KABULA-VMF00185	F
VBS55334	EA18-0486	2018-07-25T00:00:00Z	Muleba	Tanzania	1246:VO-TZ-KABULA-VMF00185	F
VBS55335	EA18-0487	2018-07-25T00:00:00Z	Muleba	Tanzania	1246:VO-TZ-KABULA-VMF00185	F
VBS55336	EA18-0488	2018-07-25T00:00:00Z	Muleba	Tanzania	1246:VO-TZ-KABULA-VMF00185	F
VBS55337	EA18-0489	2018-07-25T00:00:00Z	Muleba	Tanzania	1246:VO-TZ-KABULA-VMF00185	F
VBS55338	EA18-0490	2018-07-25T00:00:00Z	Muleba	Tanzania	1246:VO-TZ-KABULA-VMF00185	F
VBS55339	EA18-0491	2018-07-25T00:00:00Z	Muleba	Tanzania	1246:VO-TZ-KABULA-VMF00185	F
VBS55340	EA18-0492	2018-07-25T00:00:00Z	Muleba	Tanzania	1246:VO-TZ-KABULA-VMF00185	F
VBS55341	EA18-0493	2018-07-25T00:00:00Z	Muleba	Tanzania	1246:VO-TZ-KABULA-VMF00185	F
VBS55342	EA18-0494	2018-07-25T00:00:00Z	Muleba	Tanzania	1246:VO-TZ-KABULA-VMF00185	F
VBS55343	EA18-0495	2018-07-25T00:00:00Z	Muleba	Tanzania	1246:VO-TZ-KABULA-VMF00185	F
VBS55344	EA18-0496	2018-07-25T00:00:00Z	Muleba	Tanzania	1246:VO-TZ-KABULA-VMF00185	F
VBS55345	EA18-0497	2018-07-25T00:00:00Z	Muleba	Tanzania	1246:VO-TZ-KABULA-VMF00185	F
VBS55346	EA18-0498	2018-07-25T00:00:00Z	Muleba	Tanzania	1246:VO-TZ-KABULA-VMF00185	F
VBS55347	EA18-0499	2018-07-25T00:00:00Z	Muleba	Tanzania	1246:VO-TZ-KABULA-VMF00185	F
VBS55348	EA18-0500	2018-07-25T00:00:00Z	Muleba	Tanzania	1246:VO-TZ-KABULA-VMF00185	F
VBS55349	EA18-0501	2018-07-25T00:00:00Z	Muleba	Tanzania	1246:VO-TZ-KABULA-VMF00185	F
VBS55350	EA18-0502	2018-07-25T00:00:00Z	Muleba	Tanzania	1246:VO-TZ-KABULA-VMF00185	F
VBS55351	EA18-0503	2018-07-25T00:00:00Z	Muleba	Tanzania	1246:VO-TZ-KABULA-VMF00185	F
VBS55352	EA18-0504	2018-07-25T00:00:00Z	Muleba	Tanzania	1246:VO-TZ-KABULA-VMF00185	F
VBS55353	EA18-0505	2018-07-25T00:00:00Z	Muleba	Tanzania	1246:VO-TZ-KABULA-VMF00185	F
VBS55354	EA18-0506	2018-07-25T00:00:00Z	Muleba	Tanzania	1246:VO-TZ-KABULA-VMF00185	F
VBS55355	EA18-0507	2018-07-25T00:00:00Z	Muleba	Tanzania	1246:VO-TZ-KABULA-VMF00185	F
VBS55356	EA18-0508	2018-07-25T00:00:00Z	Muleba	Tanzania	1246:VO-TZ-KABULA-VMF00185	F
VBS55357	EA18-0509	2018-07-25T00:00:00Z	Muleba	Tanzania	1246:VO-TZ-KABULA-VMF00185	F
VBS55358	EA18-0510	2018-07-25T00:00:00Z	Muleba	Tanzania	1246:VO-TZ-KABULA-VMF00185	F
VBS55359	EA18-0511	2018-07-25T00:00:00Z	Muleba	Tanzania	1246:VO-TZ-KABULA-VMF00185	F
VBS55360	EA18-0512	2018-07-25T00:00:00Z	Muleba	Tanzania	1246:VO-TZ-KABULA-VMF00185	F
VBS55361	EA18-0513	2018-07-25T00:00:00Z	Muleba	Tanzania	1246:VO-TZ-KABULA-VMF00185	F
VBS55362	EA18-0514	2018-07-25T00:00:00Z	Muleba	Tanzania	1246:VO-TZ-KABULA-VMF00185	F
VBS55363	EA18-0515	2018-07-25T00:00:00Z	Muleba	Tanzania	1246:VO-TZ-KABULA-VMF00185	F
VBS55364	EA18-0516	2018-07-25T00:00:00Z	Muleba	Tanzania	1246:VO-TZ-KABULA-VMF00185	F
VBS55365	EA18-0517	2018-07-25T00:00:00Z	Muleba	Tanzania	1246:VO-TZ-KABULA-VMF00185	F
VBS55366	EA18-0518	2018-07-25T00:00:00Z	Muleba	Tanzania	1246:VO-TZ-KABULA-VMF00185	F
VBS55368	EA18-0520	2018-07-25T00:00:00Z	Muleba	Tanzania	1246:VO-TZ-KABULA-VMF00185	F
VBS55369	EA18-0521	2018-07-25T00:00:00Z	Muleba	Tanzania	1246:VO-TZ-KABULA-VMF00185	F
VBS55370	EA18-0522	2018-07-25T00:00:00Z	Muleba	Tanzania	1246:VO-TZ-KABULA-VMF00185	F
VBS55371	EA18-0523	2018-07-25T00:00:00Z	Muleba	Tanzania	1246:VO-TZ-KABULA-VMF00185	F
VBS55372	EA18-0524	2018-07-25T00:00:00Z	Muleba	Tanzania	1246:VO-TZ-KABULA-VMF00185	F
VBS55373	EA18-0525	2018-07-25T00:00:00Z	Muleba	Tanzania	1246:VO-TZ-KABULA-VMF00185	F
VBS55374	EA18-0526	2018-07-25T00:00:00Z	Muleba	Tanzania	1246:VO-TZ-KABULA-VMF00185	F
